測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,sum
三義,2023/03/12 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/03/13 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/03/14 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/03/15 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,,,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/03/16 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/03/17 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/03/18 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/03/19 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/03/20 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/03/21 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/03/22 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/03/23 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/03/24 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/03/25 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,7.0,2.5,0.0,0,0,0.0,11.5
三義,2023/03/26 00:00:00,RAINFALL,0,0.5,1.0,0,0.5,2.0,2.0,1.0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,7.5
三義,2023/03/27 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0,0,0.5,1.0
三義,2023/03/28 00:00:00,RAINFALL,0.5,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,1.0
三義,2023/03/29 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5,0,0,0.0,0.0,0.5,0,0,0.0,1.0
三義,2023/03/30 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/03/31 00:00:00,RAINFALL,0,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.5
三義,2023/04/01 00:00:00,RAINFALL,0.5,0.5,0.0,4,24.0,1.5,19.0,0.5,0.0,2.5,1.5,0,0,0,0,0,2,5.5,0.0,0.0,0.0,0,0,0.0,61.5
三義,2023/04/02 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/04/03 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/04/04 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/04/05 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2.5,1.0,0.0,0.0,0,0,0.0,3.5
